"replicate_index","data_set_index","global_data_set_index","start_index","true_beta_1","true_beta_2","true_beta_3","true_gamma_1","true_gamma_2","gamma_start_1","gamma_start_2","treated_above","treated_below","control_above","control_below","skipped","skip_reason","converged","error","beta_1_value","beta_1_bias","beta_1_absolute_bias","beta_1_rmse","beta_1_squared_bias","beta_2_value","beta_2_bias","beta_2_absolute_bias","beta_2_rmse","beta_2_squared_bias","beta_3_value","beta_3_bias","beta_3_absolute_bias","beta_3_rmse","beta_3_squared_bias","gamma_1_value","gamma_1_bias","gamma_1_absolute_bias","gamma_1_rmse","gamma_1_squared_bias","gamma_2_value","gamma_2_bias","gamma_2_absolute_bias","gamma_2_rmse","gamma_2_squared_bias"
1,1,1,1,0.405465108108164,0.182321556793955,0.693147180559945,1.5,1.8,1,1.3,176,99,215,110,FALSE,NA,TRUE,NA,0.365511442114809,-0.0399536659933556,0.0399536659933556,0.0399536659933556,0.00159629542630862,0.309300025329604,0.12697846853565,0.12697846853565,0.12697846853565,0.016123531471659,0.937572550588205,0.244425370028259,0.244425370028259,0.244425370028259,0.0597437615134515,1.50122988509188,0.00122988509188082,0.00122988509188082,0.00122988509188082,1.5126173392307e-06,1.914670199543,0.114670199543,0.114670199543,0.114670199543,0.0131492546632315
1,2,2,1,0.405465108108164,0.182321556793955,0.693147180559945,1.5,1.8,1,1.3,193,114,206,87,FALSE,NA,TRUE,NA,0.743429402858916,0.337964294750751,0.337964294750751,0.337964294750751,0.114219864526373,0.513980292980608,0.331658736186654,0.331658736186654,0.331658736186654,0.109997517288928,0.0155585847998336,-0.677588595760112,0.677588595760112,0.677588595760112,0.45912630510416,1.73233973219943,0.232339732199433,0.232339732199433,0.232339732199433,0.0539817511585041,1.6610659154557,-0.138934084544302,0.138934084544302,0.138934084544302,0.0193026798481632
1,3,3,1,0.405465108108164,0.182321556793955,0.693147180559945,1.5,1.8,1,1.3,197,84,207,112,FALSE,NA,TRUE,NA,0.432370927507959,0.0269058193997948,0.0269058193997948,0.0269058193997948,0.000723923117574375,0.431892516665339,0.249570959871385,0.249570959871385,0.249570959871385,0.0622856640111244,0.633617262011046,-0.0595299185488989,0.0595299185488989,0.0595299185488989,0.00354381120243854,1.19300439732956,-0.306995602670441,0.306995602670441,0.306995602670441,0.0942463000589873,1.10593968118223,-0.694060318817771,0.694060318817771,0.694060318817771,0.481719726157426
1,4,4,1,0.405465108108164,0.182321556793955,0.693147180559945,1.5,1.8,1,1.3,192,92,211,105,FALSE,NA,TRUE,NA,0.730052019071264,0.324586910963099,0.324586910963099,0.324586910963099,0.105356662768567,0.426364551434708,0.244042994640754,0.244042994640754,0.244042994640754,0.059556983233227,0.281802303861909,-0.411344876698036,0.411344876698036,0.411344876698036,0.169204607585722,1.61408295338547,0.114082953385473,0.114082953385473,0.114082953385473,0.0130149202531519,1.81169656064724,0.0116965606472439,0.0116965606472439,0.0116965606472439,0.000136809530974654
1,5,5,1,0.405465108108164,0.182321556793955,0.693147180559945,1.5,1.8,1,1.3,188,123,207,82,FALSE,NA,TRUE,NA,0.333887558699633,-0.0715775494085318,0.0715775494085318,0.0715775494085318,0.00512334557933081,0.216400243730413,0.0340786869364582,0.0340786869364582,0.0340786869364582,0.00116135690331313,0.914022800171273,0.220875619611328,0.220875619611328,0.220875619611328,0.0487860393386878,1.67449076357025,0.174490763570253,0.174490763570253,0.174490763570253,0.0304470265713298,1.86318410419272,0.0631841041927248,0.0631841041927248,0.0631841041927248,0.0039922310226371
1,6,6,1,0.405465108108164,0.182321556793955,0.693147180559945,1.5,1.8,1,1.3,209,95,197,99,FALSE,NA,TRUE,NA,0.60480951405679,0.199344405948625,0.199344405948625,0.199344405948625,0.0397381921830103,-0.0106530700190697,-0.192974626813024,0.192974626813024,0.192974626813024,0.037239206593626,0.908906849272587,0.215759668712641,0.215759668712641,0.215759668712641,0.0465522346429887,1.48739986150424,-0.012600138495763,0.012600138495763,0.012600138495763,0.000158763490112409,1.30575141009517,-0.494248589904832,0.494248589904832,0.494248589904832,0.244281668622915
1,7,7,1,0.405465108108164,0.182321556793955,0.693147180559945,1.5,1.8,1,1.3,211,92,185,112,FALSE,NA,FALSE,"X matrix deemed to be singular; variable 2 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,7,2,0.405465108108164,0.182321556793955,0.693147180559945,1.5,1.8,1,1.3,211,92,185,112,FALSE,NA,FALSE,"X matrix deemed to be singular; variable 2 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,7,3,0.405465108108164,0.182321556793955,0.693147180559945,1.5,1.8,1,1.3,211,92,185,112,FALSE,NA,TRUE,NA,0.434458880462753,0.0289937723545882,0.0289937723545882,0.0289937723545882,0.000840638835349684,0.226543209608269,0.0442216528143141,0.0442216528143141,0.0442216528143141,0.00195555457762974,0.407744474447562,-0.285402706112383,0.285402706112383,0.285402706112383,0.0814547046562715,1.05736144578765,-0.442638554212351,0.442638554212351,0.442638554212351,0.195928889675201,2.25840628101834,0.458406281018336,0.458406281018336,0.458406281018336,0.210136318477061
1,8,8,1,0.405465108108164,0.182321556793955,0.693147180559945,1.5,1.8,1,1.3,216,92,211,81,FALSE,NA,TRUE,NA,0.145049456879919,-0.260415651228246,0.260415651228246,0.260415651228246,0.0678163114046314,-0.0968610828382614,-0.279182639632216,0.279182639632216,0.279182639632216,0.0779429462720118,0.978271529174514,0.285124348614569,0.285124348614569,0.285124348614569,0.0812958941728822,1.59499575114143,0.0949957511414274,0.0949957511414274,0.0949957511414274,0.00902419273492401,1.40344224298062,-0.396557757019379,0.396557757019379,0.396557757019379,0.15725805465224
